title,date,project_id
Project Approved for Implementation,16 Jun 2016,9494
Project closed,,9494
Received by GEF,20 May 2016,9499
Preparation Grant Approved,22 Jun 2016,9499
Project Approved for Implementation,03 Oct 2018,9499
Project closed,,9499
Received by GEF,21 Jun 2016,9526
Preparation Grant Approved,05 Jul 2016,9526
Project Approved for Implementation,07 Aug 2018,9526
Project closed,,9526
Received by GEF,20 Jun 2016,9525
Received by GEF,20 Jun 2016,9524
Preparation Grant Approved,12 Jul 2016,9525
Project Approved for Implementation,08 May 2018,9525
Project closed,,9525
Preparation Grant Approved,05 Jul 2016,9524
Project Approved for Implementation,06 Aug 2018,9524
Project closed,,9524
Received by GEF,23 Jun 2016,9530
Project Approved for Implementation,21 Sep 2016,9530
Project closed,,9530
Received by GEF,19 May 2016,9496
Preparation Grant Approved,22 Jun 2016,9496
Project Approved for Implementation,18 Jan 2018,9496
Project closed,,9496
Received by GEF,26 Apr 2016,9481
Preparation Grant Approved,30 Oct 2017,9481
Concept Approved,01 Nov 2017,9481
Project Approved for Implementation,,9481
Project closed,,9481
Received by GEF,19 Apr 2016,9477
Preparation Grant Approved,12 May 2016,9477
Concept Approved,12 May 2016,9477
Project Approved for Implementation,21 Jun 2017,9477
Project closed,,9477
Received by GEF,11 Mar 2016,9442
Concept Approved,01 Jun 2016,9442
Project Approved for Implementation,06 Jul 2017,9442
Project closed,,9442
Received by GEF,18 Mar 2016,9452
Concept Approved,01 Jun 2016,9452
Project Approved for Implementation,14 Mar 2018,9452
Project closed,,9452
Received by GEF,22 Mar 2016,9457
Project Approved for Implementation,30 Mar 2016,9457
Project closed,,9457
Received by GEF,18 Mar 2016,9454
Project Approved for Implementation,01 Jun 2016,9454
Project closed,,9454
Received by GEF,21 Mar 2016,9456
Project Approved for Implementation,16 Jun 2016,9456
Project closed,,9456
Received by GEF,18 Mar 2016,9453
Project Approved for Implementation,31 Mar 2016,9453
Project closed,,9453
Received by GEF,04 Mar 2016,9421
Preparation Grant Approved,30 Oct 2017,9421
Concept Approved,01 Nov 2017,9421
Project Approved for Implementation,,9421
Project closed,,9421
Received by GEF,18 Mar 2016,9455
Project Approved for Implementation,02 Jun 2016,9455
Project closed,,9455
Received by GEF,03 Mar 2016,9412
Preparation Grant Approved,30 Oct 2017,9412
Concept Approved,01 Nov 2017,9412
Project Approved for Implementation,,9412
Project closed,,9412
Received by GEF,03 Mar 2016,9413
Preparation Grant Approved,04 May 2016,9413
Concept Approved,01 Jun 2016,9413
Project Approved for Implementation,01 Feb 2018,9413
Project closed,,9413
Received by GEF,03 Mar 2016,9409
Received by GEF,03 Mar 2016,9410
Preparation Grant Approved,22 Feb 2017,9409
Concept Approved,22 Feb 2017,9409
Project Approved for Implementation,30 Apr 2018,9409
Received by GEF,03 Mar 2016,9414
Preparation Grant Approved,02 May 2017,9410
Concept Approved,01 May 2017,9410
Project Approved for Implementation,,9410
Project closed,,9410
Project closed,,9409
Project Approved for Implementation,02 May 2016,9414
Project closed,,9414
Received by GEF,02 Mar 2016,9402
Received by GEF,03 Mar 2016,9408
Preparation Grant Approved,04 May 2016,9402
Concept Approved,01 Jun 2016,9402
Project Approved for Implementation,,9402
Project closed,,9402
Preparation Grant Approved,04 May 2016,9408
Concept Approved,01 Jun 2016,9408
Project Approved for Implementation,24 Apr 2018,9408
Received by GEF,03 Mar 2016,9406
Received by GEF,03 Mar 2016,9407
Project closed,,9408
Preparation Grant Approved,04 May 2016,9406
Concept Approved,01 Jun 2016,9406
Project Approved for Implementation,21 Aug 2018,9406
Preparation Grant Approved,04 May 2016,9407
Concept Approved,01 Jun 2016,9407
Project Approved for Implementation,06 Nov 2017,9407
Project closed,,9406
Received by GEF,03 Mar 2016,9405
Project closed,,9407
Preparation Grant Approved,30 Oct 2017,9405
Concept Approved,01 Nov 2017,9405
Project Approved for Implementation,,9405
Project closed,,9405
Received by GEF,04 Feb 2016,9382
Preparation Grant Approved,02 May 2016,9382
Project Approved for Implementation,02 May 2016,9382
Project closed,,9382
Received by GEF,26 Oct 2015,9329
Concept Approved,30 Nov 2015,9329
Project Approved for Implementation,04 Feb 2016,9329
Project closed,,9329
Received by GEF,30 Nov 2015,9347
Project Approved for Implementation,03 Dec 2015,9347
Project closed,31 Dec 2019,9347
Received by GEF,15 Oct 2015,9327
Project Approved for Implementation,04 Dec 2015,9327
Project closed,,9327
Received by GEF,08 Dec 2015,9351
Project Approved for Implementation,12 Jan 2016,9351
Project closed,,9351
Received by GEF,08 Dec 2015,9350
Project Approved for Implementation,03 Feb 2016,9350
Project closed,,9350
Received by GEF,10 Aug 2015,9283
Preparation Grant Approved,05 Nov 2015,9283
Project Approved for Implementation,04 Oct 2017,9283
Project closed,,9283
Received by GEF,09 Oct 2015,9320
Preparation Grant Approved,24 Nov 2015,9320
Concept Approved,24 Nov 2015,9320
Project Approved for Implementation,01 Mar 2017,9320
Project closed,,9320
Received by GEF,11 Jan 2016,9366
Preparation Grant Approved,02 May 2017,9366
Concept Approved,01 May 2017,9366
Project Approved for Implementation,,9366
Project closed,,9366
Received by GEF,06 Nov 2015,9337
Preparation Grant Approved,23 Dec 2015,9337
Project Approved for Implementation,16 Nov 2017,9337
Project closed,,9337
Received by GEF,07 Aug 2015,9276
Concept Approved,01 Apr 2016,9276
Project Approved for Implementation,08 Sep 2016,9276
Project closed,,9276
Received by GEF,24 Jul 2015,9196
Project Approved for Implementation,11 Sep 2015,9196
Project closed,,9196
Received by GEF,29 Jun 2015,9172
Project Approved for Implementation,21 Sep 2015,9172
Project closed,,9172
Received by GEF,29 Jun 2015,9174
Received by GEF,29 Jun 2015,9173
Project Approved for Implementation,17 Dec 2015,9174
Project closed,,9174
Project Approved for Implementation,03 Nov 2015,9173
Project closed,,9173
Received by GEF,16 Jul 2015,9188
Project Approved for Implementation,21 Sep 2015,9188
Project closed,,9188
Received by GEF,15 Jul 2015,9185
Project Approved for Implementation,02 Sep 2015,9185
Project closed,,9185
Received by GEF,25 Jun 2015,9171
Received by GEF,16 Jul 2015,9187
Project Approved for Implementation,15 Jan 2016,9171
Project closed,,9171
Project Approved for Implementation,09 Mar 2016,9187
Project closed,,9187
Received by GEF,18 May 2015,9142
Preparation Grant Approved,27 May 2015,9142
Project Approved for Implementation,06 Jan 2017,9142
Project closed,,9142
Received by GEF,05 May 2015,9120
Project Approved for Implementation,09 Jun 2015,9120
Project closed,,9120
Received by GEF,04 May 2015,9119
Project Approved for Implementation,11 May 2015,9119
Project closed,,9119
Received by GEF,17 Mar 2015,9087
Project Approved for Implementation,01 Apr 2015,9087
Project closed,,9087
Received by GEF,01 Apr 2015,9110
Project Approved for Implementation,12 May 2015,9110
Project closed,,9110
Received by GEF,27 Apr 2015,9118
Project Approved for Implementation,18 May 2015,9118
Project closed,,9118
Received by GEF,24 Mar 2015,9105
Project Approved for Implementation,09 Apr 2015,9105
Project closed,,9105
Received by GEF,19 Feb 2015,8035
Preparation Grant Approved,31 Jan 2017,8035
Concept Approved,28 Feb 2017,8035
Project Approved for Implementation,,8035
Project closed,,8035
Received by GEF,16 Mar 2015,9080
Preparation Grant Approved,28 Apr 2015,9080
Concept Approved,01 Jun 2015,9080
Project Approved for Implementation,04 Apr 2017,9080
Project closed,,9080
Received by GEF,16 Mar 2015,9083
Concept Approved,01 Oct 2015,9083
Project Approved for Implementation,,9083
Project closed,,9083
Received by GEF,19 Nov 2014,8004
Project Approved for Implementation,26 Nov 2014,8004
Project closed,,8004
Received by GEF,03 Dec 2014,8009
Preparation Grant Approved,03 Feb 2017,8009
Concept Approved,30 Mar 2017,8009
Project Approved for Implementation,,8009
Project closed,,8009
Received by GEF,21 Jan 2015,8025
Preparation Grant Approved,28 Apr 2015,8025
Concept Approved,01 Jun 2015,8025
Project Approved for Implementation,09 Jun 2017,8025
Project closed,,8025
Received by GEF,18 Feb 2015,8034
Received by GEF,21 Jan 2015,8022
Received by GEF,29 Sep 2014,6986
Preparation Grant Approved,19 Oct 2017,8034
Concept Approved,01 Oct 2017,8034
Project Approved for Implementation,,8034
Received by GEF,01 Apr 2015,9111
Preparation Grant Approved,14 Nov 2017,8022
Concept Approved,26 Jan 2018,8022
Project Approved for Implementation,,8022
Project closed,,8022
Preparation Grant Approved,20 Oct 2016,6986
Concept Approved,22 Nov 2016,6986
Project Approved for Implementation,,6986
Project closed,,6986
Project closed,,8034
Project Approved for Implementation,06 Apr 2015,9111
Project closed,,9111
Received by GEF,24 Sep 2014,6983
Preparation Grant Approved,20 Oct 2016,6983
Concept Approved,22 Nov 2016,6983
Project Approved for Implementation,,6983
Project closed,,6983
Received by GEF,21 Jan 2015,8024
Project Approved for Implementation,10 Mar 2015,8024
Project closed,,8024
Received by GEF,19 Nov 2014,8003
Concept Approved,01 Nov 2005,8003
Project Approved for Implementation,07 Apr 2015,8003
Project closed,31 Dec 2021,8003
Received by GEF,16 Oct 2014,6990
Preparation Grant Approved,08 Jul 2015,6990
Concept Approved,08 Jul 2015,6990
Project Approved for Implementation,13 Jul 2016,6990
Project closed,,6990
Received by GEF,27 Aug 2014,6972
Project Approved for Implementation,04 Dec 2014,6972
Project closed,,6972
Received by GEF,11 Jun 2014,5893
Project Approved for Implementation,13 Jun 2014,5893
Project closed,30 Oct 2016,5893
Received by GEF,11 Jun 2014,5891
Project Approved for Implementation,12 Jun 2014,5891
Project closed,,5891
Received by GEF,17 Sep 2014,6978
Project Approved for Implementation,01 Dec 2014,6978
Project closed,,6978
Received by GEF,10 Jun 2014,5889
Project Approved for Implementation,11 Jun 2014,5889
Project closed,,5889
Received by GEF,13 Aug 2014,6944
Project Approved for Implementation,10 Sep 2014,6944
Project closed,,6944
Received by GEF,13 Jun 2014,5898
Project Approved for Implementation,16 Jun 2014,5898
Project closed,30 Jun 2016,5898
Received by GEF,11 Jun 2014,5890
Project Approved for Implementation,13 Jun 2014,5890
Project closed,,5890
Received by GEF,11 Aug 2014,6925
Concept Approved,01 Oct 2014,6925
Project Approved for Implementation,24 Jun 2015,6925
Project closed,,6925
Received by GEF,10 Jun 2014,5885
Project Approved for Implementation,12 Jun 2014,5885
Project closed,,5885
Received by GEF,11 Aug 2014,6926
Preparation Grant Approved,20 Oct 2016,6926
Concept Approved,22 Nov 2016,6926
Project Approved for Implementation,,6926
Project closed,,6926
Received by GEF,05 Jun 2014,5877
Project Approved for Implementation,09 Jun 2014,5877
Project closed,,5877
Received by GEF,09 Jun 2014,5879
Project Approved for Implementation,12 Jun 2014,5879
Project closed,,5879
Received by GEF,10 Jun 2014,5884
Project Approved for Implementation,11 Jun 2014,5884
Project closed,,5884
Received by GEF,10 Jun 2014,5882
Preparation Grant Approved,10 Jun 2014,5882
Concept Approved,10 Jun 2014,5882
Project Approved for Implementation,14 Jan 2016,5882
Project closed,,5882
Received by GEF,10 Jun 2014,5883
Project Approved for Implementation,11 Jun 2014,5883
Project closed,30 Oct 2015,5883
Received by GEF,04 Jun 2014,5875
Project Approved for Implementation,09 Jun 2014,5875
Project closed,31 Mar 2017,5875
Received by GEF,02 Jun 2014,5865
Project Approved for Implementation,06 Jun 2014,5865
Project closed,,5865
Received by GEF,10 Jun 2014,5880
Concept Approved,13 Jun 2014,5880
Project Approved for Implementation,14 Oct 2015,5880
Project closed,,5880
Received by GEF,03 Jun 2014,5868
Preparation Grant Approved,11 Dec 2014,5868
Concept Approved,13 Jan 2015,5868
Project Approved for Implementation,27 May 2016,5868
Project closed,,5868
Received by GEF,30 Apr 2014,5824
Project Approved for Implementation,22 May 2014,5824
Project closed,,5824
Received by GEF,30 Apr 2014,5831
Concept Approved,04 Jun 2014,5831
Project Approved for Implementation,19 May 2015,5831
Project closed,,5831
Received by GEF,02 Jun 2014,5861
Project Approved for Implementation,05 Jun 2014,5861
Project closed,,5861
Received by GEF,02 Jun 2014,5860
Project Approved for Implementation,10 Jun 2014,5860
Project closed,,5860
Received by GEF,30 Apr 2014,5822
Preparation Grant Approved,08 May 2014,5822
Concept Approved,08 May 2014,5822
Project Approved for Implementation,01 Jul 2015,5822
Project closed,,5822
Received by GEF,30 Apr 2014,5825
Preparation Grant Approved,19 May 2014,5825
Concept Approved,19 May 2014,5825
Project Approved for Implementation,16 Feb 2016,5825
Received by GEF,02 Jun 2014,5864
Project closed,,5825
Project Approved for Implementation,11 Jun 2014,5864
Project closed,31 Mar 2017,5864
Received by GEF,02 Jun 2014,5863
Project Approved for Implementation,13 Jun 2014,5863
Project closed,,5863
Received by GEF,30 Apr 2014,5823
Preparation Grant Approved,08 May 2014,5823
Concept Approved,08 May 2014,5823
Project Approved for Implementation,23 May 2016,5823
Project closed,,5823
Received by GEF,30 Apr 2014,5821
Preparation Grant Approved,21 May 2014,5821
Concept Approved,21 May 2014,5821
Project Approved for Implementation,12 Feb 2015,5821
Project closed,,5821
Received by GEF,16 Apr 2014,5803
Project Approved for Implementation,12 Jun 2014,5803
Project closed,,5803
Received by GEF,14 Apr 2014,5799
Received by GEF,16 Apr 2014,5802
Received by GEF,25 Apr 2014,5811
Preparation Grant Approved,08 May 2014,5799
Concept Approved,08 May 2014,5799
Project Approved for Implementation,30 Aug 2016,5799
Preparation Grant Approved,13 Jun 2014,5802
Concept Approved,13 Jun 2014,5802
Project Approved for Implementation,21 Oct 2016,5802
Preparation Grant Approved,02 Jun 2014,5811
Concept Approved,02 Jun 2014,5811
Project Approved for Implementation,13 Jun 2016,5811
Project closed,,5811
Received by GEF,29 Apr 2014,5815
Project closed,,5799
Project closed,,5802
Preparation Grant Approved,31 Jul 2014,5815
Concept Approved,29 Aug 2014,5815
Project Approved for Implementation,25 Jan 2017,5815
Project closed,,5815
Received by GEF,17 Apr 2014,5806
Preparation Grant Approved,16 Jun 2014,5806
Concept Approved,16 Jun 2014,5806
Project Approved for Implementation,14 Oct 2016,5806
Project closed,,5806
Received by GEF,31 Mar 2014,5788
Preparation Grant Approved,08 May 2014,5788
Concept Approved,08 May 2014,5788
Project Approved for Implementation,05 Dec 2016,5788
Received by GEF,17 Apr 2014,5807
Project closed,,5788
Project Approved for Implementation,19 May 2014,5807
Project closed,,5807
Received by GEF,14 Mar 2014,5776
Preparation Grant Approved,08 May 2014,5776
Concept Approved,08 May 2014,5776
Project Approved for Implementation,25 Mar 2015,5776
Project closed,,5776
Received by GEF,14 Mar 2014,5775
Preparation Grant Approved,08 May 2014,5775
Concept Approved,08 May 2014,5775
Project Approved for Implementation,31 Aug 2015,5775
Project closed,,5775
Received by GEF,12 Feb 2014,5703
Preparation Grant Approved,07 Jul 2014,5703
Concept Approved,31 Jul 2014,5703
Project Approved for Implementation,11 Aug 2016,5703
Project closed,,5703
Received by GEF,10 Mar 2014,5746
Preparation Grant Approved,12 May 2014,5746
Concept Approved,12 May 2014,5746
Project Approved for Implementation,14 Jun 2016,5746
Project closed,,5746
